epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2241,1.12232,3.77344,1.58124,0.8562,0.12687,0.13951,0.08561,1.40903,2.26709,2.01487,0.00332868,0.00332868,0.00332868
2,167.987,1.14418,2.49427,1.58322,0.67727,0.14194,0.14092,0.07826,1.52517,2.18697,2.11884,0.00657408,0.00657408,0.00657408
3,249.508,1.17889,2.40597,1.59503,0.47864,0.13099,0.12732,0.07644,1.66226,2.84933,2.4356,0.00973147,0.00973147,0.00973147
4,331.249,1.1908,2.34468,1.60681,0.53753,0.16472,0.18284,0.11568,1.44813,2.00423,1.99296,0.009604,0.009604,0.009604
5,412.555,1.15505,2.09274,1.57096,0.55964,0.17651,0.21033,0.13212,1.41975,1.91155,1.87632,0.009472,0.009472,0.009472
6,493.287,1.12497,1.92053,1.54076,0.52445,0.19617,0.19971,0.13917,1.3805,2.03166,1.89469,0.00934,0.00934,0.00934
7,574.36,1.09998,1.81388,1.51582,0.61645,0.22293,0.24347,0.1663,1.41578,1.56777,1.90726,0.009208,0.009208,0.009208
8,655.424,1.08578,1.73318,1.50512,0.56455,0.21765,0.22699,0.15256,1.36905,1.73028,1.85384,0.009076,0.009076,0.009076
9,736.709,1.06791,1.67044,1.48966,0.61582,0.22377,0.26678,0.1815,1.36037,1.51596,1.7897,0.008944,0.008944,0.008944
10,817.692,1.0603,1.62131,1.48205,0.56145,0.25543,0.27665,0.18696,1.33889,1.47952,1.82,0.008812,0.008812,0.008812
11,898.751,1.05547,1.58133,1.47943,0.58048,0.26419,0.24543,0.15428,1.36887,1.53682,1.85363,0.00868,0.00868,0.00868
12,979.755,1.03654,1.5271,1.46375,0.64334,0.24928,0.28157,0.18936,1.35265,1.42455,1.83424,0.008548,0.008548,0.008548
13,1060.81,1.02141,1.50855,1.45889,0.66929,0.23865,0.29138,0.20178,1.31026,1.38552,1.76306,0.008416,0.008416,0.008416
14,1142.18,1.01853,1.45991,1.44614,0.66617,0.24756,0.2958,0.19946,1.32629,1.34892,1.76202,0.008284,0.008284,0.008284
15,1222.24,1.01522,1.42901,1.44611,0.54764,0.35124,0.30723,0.22065,1.24555,1.31894,1.67077,0.008152,0.008152,0.008152
16,1302.44,1.00124,1.42116,1.43647,0.657,0.25886,0.30035,0.20396,1.29208,1.28496,1.73055,0.00802,0.00802,0.00802
17,1382.18,1.00683,1.39188,1.43819,0.5532,0.28134,0.28172,0.19332,1.28003,1.34432,1.71886,0.007888,0.007888,0.007888
18,1462.4,0.99463,1.36205,1.42805,0.6667,0.25859,0.32112,0.22543,1.25336,1.25925,1.70083,0.007756,0.007756,0.007756
19,1542.19,0.98238,1.33314,1.41851,0.62903,0.29219,0.30338,0.21041,1.27659,1.2594,1.74005,0.007624,0.007624,0.007624
20,1621.63,0.97449,1.30959,1.41408,0.68053,0.24747,0.31378,0.22166,1.24903,1.21734,1.69124,0.007492,0.007492,0.007492
21,1701.54,0.97601,1.29029,1.40492,0.63657,0.30221,0.31558,0.22541,1.24645,1.23218,1.68236,0.00736,0.00736,0.00736
22,1781.63,0.96199,1.26058,1.39743,0.6131,0.30528,0.31453,0.21996,1.2864,1.21699,1.71628,0.007228,0.007228,0.007228
23,1861.56,0.96767,1.24287,1.40238,0.57091,0.28506,0.31517,0.22356,1.25005,1.24729,1.66252,0.007096,0.007096,0.007096
24,1941.03,0.95048,1.22893,1.39069,0.57718,0.3112,0.31881,0.2267,1.2546,1.2266,1.69905,0.006964,0.006964,0.006964
25,2020.99,0.95784,1.20985,1.3951,0.65636,0.28349,0.31782,0.22938,1.25433,1.22892,1.67977,0.006832,0.006832,0.006832
26,2100.43,0.95622,1.20938,1.39146,0.60765,0.31364,0.33454,0.23984,1.23503,1.19982,1.65352,0.0067,0.0067,0.0067
27,2180.66,0.94619,1.18329,1.38384,0.63954,0.31637,0.33055,0.23722,1.24067,1.16565,1.66012,0.006568,0.006568,0.006568
28,2260.64,0.94714,1.17479,1.37917,0.68602,0.30037,0.36303,0.2582,1.24101,1.16733,1.65953,0.006436,0.006436,0.006436
29,2340.2,0.93776,1.14348,1.3778,0.55174,0.32522,0.35407,0.24879,1.24151,1.1167,1.67614,0.006304,0.006304,0.006304
30,2419.53,0.93606,1.1344,1.37326,0.59458,0.29349,0.3321,0.23299,1.23836,1.17395,1.65386,0.006172,0.006172,0.006172
31,2499.35,0.92296,1.13432,1.36729,0.65484,0.29287,0.3344,0.23326,1.22882,1.16731,1.65037,0.00604,0.00604,0.00604
32,2579.2,0.91752,1.10064,1.35856,0.4848,0.34771,0.34694,0.24454,1.23639,1.14091,1.67594,0.005908,0.005908,0.005908
33,2658.63,0.92032,1.08623,1.36191,0.4345,0.35346,0.33078,0.23155,1.23429,1.14763,1.65364,0.005776,0.005776,0.005776
34,2738.53,0.90977,1.07496,1.35646,0.4856,0.37003,0.36804,0.26545,1.23646,1.10884,1.64911,0.005644,0.005644,0.005644
35,2817.97,0.91527,1.06107,1.35332,0.69498,0.29221,0.35461,0.25526,1.24772,1.15737,1.66456,0.005512,0.005512,0.005512
36,2898.1,0.90503,1.04116,1.34495,0.58066,0.32573,0.34181,0.24305,1.2282,1.13794,1.63939,0.00538,0.00538,0.00538
37,2977.74,0.9117,1.05131,1.34858,0.52204,0.3458,0.34312,0.24345,1.22867,1.11902,1.64001,0.005248,0.005248,0.005248
38,3057.21,0.89917,1.02411,1.34245,0.56981,0.29841,0.36426,0.25711,1.2245,1.13586,1.6388,0.005116,0.005116,0.005116
39,3136.95,0.90114,1.02198,1.34571,0.49499,0.33646,0.36335,0.26129,1.2184,1.1311,1.63766,0.004984,0.004984,0.004984
40,3216.87,0.89526,0.99892,1.33339,0.47416,0.3448,0.35997,0.25858,1.21876,1.10497,1.64736,0.004852,0.004852,0.004852
41,3296.93,0.88182,0.98309,1.33146,0.55035,0.31761,0.36094,0.25983,1.20303,1.10297,1.63054,0.00472,0.00472,0.00472
42,3376.44,0.88605,0.97448,1.32848,0.58348,0.32039,0.36387,0.26106,1.21932,1.09836,1.64675,0.004588,0.004588,0.004588
